"tITI","period","seq_tr","position","mean_prob","sem_upper","sem_lower","time"
"0.064","forward",4,3,7.49143524316754,8.13669981092707,6.84617067540801,3.75
"0.064","backward",5,3,8.0948875030205,9.01547763455345,7.17429737148756,5
"0.064","backward",6,3,7.5996708153332,8.47691118275748,6.72243044790892,6.25
"0.064","backward",7,3,7.78246369222191,8.33548974809443,7.2294376363494,7.5
"0.064","excluded",8,3,7.1104164052727,7.70280839415999,6.51802441638542,8.75
"0.064","excluded",9,3,8.07045023340814,8.71944245880976,7.42145800800653,10
"0.064","excluded",10,3,6.83504643202883,7.32891055583449,6.34118230822318,11.25
"0.064","excluded",11,3,7.75828379051647,8.38503213643924,7.13153544459369,12.5
"0.064","excluded",12,3,7.32839311974399,7.94609826497224,6.71068797451574,13.75
"0.064","excluded",13,3,7.9743711005579,8.74531337176241,7.20342882935338,15
"0.064","excluded",1,2,8.05091895124136,8.81563393521772,7.28620396726499,0
"0.064","forward",2,2,7.62426603947434,8.28428828287891,6.96424379606977,1.25
"0.064","forward",3,2,9.2960107257657,10.1775846927601,8.41443675877126,2.5
"0.064","forward",4,2,9.36411805904123,10.2363540589114,8.49188205917106,3.75
"0.064","backward",5,2,6.96708910346436,7.53234124197385,6.40183696495488,5
"0.064","backward",6,2,6.70080476858549,7.27303254071246,6.12857699645851,6.25
"0.064","backward",7,2,8.34563352608832,9.14758248166135,7.5436845705153,7.5
"0.064","excluded",8,2,7.7284741964836,8.29646187615701,7.16048651681019,8.75
"0.064","excluded",9,2,6.63636278202473,7.24530383800978,6.02742172603968,10
"0.064","excluded",10,2,6.6367852825142,7.27791211592487,5.99565844910354,11.25
"0.064","excluded",11,2,6.77416768041026,7.3577546299473,6.19058073087322,12.5
"0.064","excluded",12,2,6.61642923270109,7.16420029158865,6.06865817381354,13.75
"0.064","excluded",13,2,9.25893965220532,10.1595107163441,8.35836858806657,15
"0.064","excluded",1,1,8.31613226636947,9.13149133051154,7.5007732022274,0
"0.064","forward",2,1,8.24100035214356,8.88085004392088,7.60115066036624,1.25
"0.064","forward",3,1,10.4950655413554,11.4964864518949,9.4936446308159,2.5
"0.064","forward",4,1,8.04363156318197,8.96930884491735,7.11795428144659,3.75
"0.064","backward",5,1,5.64294891945552,6.40058861473654,4.88530922417451,5
"0.064","backward",6,1,6.48387988396583,7.41532555689157,5.55243421104009,6.25
"0.064","backward",7,1,6.64218136775153,7.45307540183505,5.83128733366801,7.5
"0.064","excluded",8,1,8.37726141330163,9.26851660248987,7.48600622411339,8.75
"0.064","excluded",9,1,8.00950849037279,8.83503238858919,7.18398459215639,10
"0.064","excluded",10,1,7.28334607963288,7.89158796876833,6.67510419049742,11.25
"0.064","excluded",11,1,7.06642638981556,7.7443490901296,6.38850368950151,12.5
"0.064","excluded",12,1,7.02827818251992,7.5945931215722,6.46196324346763,13.75
"0.064","excluded",13,1,8.37033955013396,9.10124982428338,7.63942927598455,15
"0.128","excluded",1,1,9.0972765158544,9.93405779882184,8.26049523288696,0
"0.128","forward",2,1,9.809791077289,10.7451269526931,8.87445520188491,1.25
"0.128","forward",3,1,9.62254803243894,10.4694446403554,8.77565142452248,2.5
"0.128","forward",4,1,10.6112593742122,11.7441140464632,9.47840470196117,3.75
"0.128","backward",5,1,7.13257879560863,7.94914097791071,6.31601661330654,5
"0.128","backward",6,1,5.52583347851138,6.14948359039752,4.90218336662523,6.25
"0.128","backward",7,1,6.77510260351902,7.38751206841648,6.16269313862157,7.5
"0.128","backward",8,1,7.75908084396686,8.42432798765884,7.09383370027488,8.75
"0.128","excluded",9,1,6.90581115616416,7.4635525998717,6.34806971245661,10
"0.128","excluded",10,1,5.15446705579492,5.62505555845353,4.68387855313632,11.25
"0.128","excluded",11,1,6.72030337543881,7.39072824963694,6.04987850124067,12.5
"0.128","excluded",12,1,6.56314729425688,7.3122229443793,5.81407164413445,13.75
"0.128","excluded",13,1,8.32280039694482,9.11836804481175,7.52723274907789,15
"0.128","excluded",1,3,8.08165537314755,8.92816128678669,7.23514945950842,0
"0.128","forward",2,3,7.11726576465438,7.7466860582758,6.48784547103295,1.25
"0.128","forward",3,3,7.89004964045668,8.61537970329826,7.16471957761509,2.5
"0.128","forward",4,3,9.99068742675072,11.0170235881935,8.96435126530792,3.75
"0.128","backward",5,3,7.98995245633663,8.74938527474632,7.23051963792694,5
"0.128","backward",6,3,7.68025148206623,8.38114302046056,6.97935994367191,6.25
"0.128","backward",7,3,7.29791944754448,7.87836704836797,6.71747184672099,7.5
"0.128","backward",8,3,7.87727381082334,8.58877721529571,7.16577040635098,8.75
"0.128","excluded",9,3,7.32057816732975,7.96160599124419,6.67955034341532,10
"0.128","excluded",10,3,7.03736177499092,7.60796940687016,6.46675414311168,11.25
"0.128","excluded",11,3,6.23337363980936,6.78410675032917,5.68264052928955,12.5
"0.128","excluded",12,3,7.71987182536368,8.39714397844719,7.04259967228017,13.75
"0.128","excluded",13,3,7.76375919072628,8.35993148064939,7.16758690080316,15
"0.128","excluded",1,2,6.89368382889715,7.56043077284155,6.22693688495275,0
