"seq_tr","change","position","mean_probability","sem_upper","sem_lower"
12,7,5,10.3841752820095,11.9208439447262,8.84750661929272
13,7,5,13.5762857617053,15.3141007866454,11.8384707367653
1,4,1,12.2654929872366,13.948221903995,10.5827640704781
2,4,1,13.9668618654254,15.8255631989494,12.1081605319013
3,4,1,26.1285862507876,28.1505081945968,24.1066643069784
4,4,1,25.5025684311301,27.9506287284934,23.0545081337669
5,4,1,14.9576169004475,16.5906291363577,13.3246046645374
6,4,1,13.3370371728926,15.491585900512,11.1824884452732
7,4,1,11.3148568817481,13.3393959864463,9.29031777704987
8,4,1,10.5753960904227,12.4971786059581,8.65361357488721
9,4,1,8.19127420810875,9.5088107352763,6.8737376809412
10,4,1,6.57041509063419,7.87398946218952,5.26684071907886
11,4,1,7.76158768978745,9.20351729956736,6.31965808000754
12,4,1,7.35933234286518,8.83077821385667,5.88788647187369
13,4,1,7.30804415647858,8.87040607570297,5.74568223725419
1,7,1,11.4265600091997,13.3078152604559,9.54530475794356
2,7,1,11.3488270335102,13.2492632574525,9.44839080956789
3,7,1,30.5306600352695,32.8225669051825,28.2387531653565
4,7,1,29.1248458495044,31.2009509053357,27.0487407936731
5,7,1,28.4872934580734,31.2270578660209,25.7475290501258
6,7,1,15.5107357343442,17.599878184013,13.4215932846754
7,7,1,13.950812684381,15.9576151470458,11.9440102217161
8,7,1,10.6025734271812,12.363167868048,8.8419789863143
9,7,1,8.87125796399317,10.5076237546228,7.23489217336358
10,7,1,12.8180860940339,14.3953783370707,11.240793850997
11,7,1,7.64769948919387,9.09237282103392,6.20302615735381
12,7,1,8.47246742679435,10.0766485865026,6.86828626708613
13,7,1,6.88735232447668,8.37585662153437,5.39884802741899
1,8,1,10.0294858812839,11.7907295377918,8.26824222477605
2,8,1,13.9305678819748,15.8747222112932,11.9864135526564
3,8,1,30.614598061307,32.9604352281039,28.26876089451
4,8,1,31.4893582788135,33.8073832939071,29.1713332637199
5,8,1,34.5846686633139,37.113304214793,32.0560331118348
6,8,1,23.7453580820057,26.3672773538785,21.1234388101329
7,8,1,17.1293327181372,19.3795163165968,14.8791491196776
8,8,1,12.5187838068964,14.4914824256814,10.5460851881114
9,8,1,5.71945478017553,6.89116935424175,4.54774020610932
10,8,1,7.3067290935015,8.56963038290994,6.04382780409307
11,8,1,10.4595664078263,12.7033444972333,8.21578831841941
12,8,1,8.49827324109397,9.91591607214155,7.08063041004638
13,8,1,7.2209484558197,8.82448339526617,5.61741351637322
1,8,5,9.98852972609285,11.562738041446,8.41432141073967
2,8,5,11.6750228968397,13.4111614291813,9.93888436449817
3,8,5,11.5907672119296,13.1248964437162,10.056637980143
4,8,5,7.41507220899374,8.75599171249996,6.07415270548752
5,8,5,3.20209395007371,3.99824143218009,2.40594646796732
6,8,5,4.63078088046146,5.87167471434421,3.38988704657871
7,8,5,10.4762701954561,12.125584771565,8.82695561934714
8,8,5,16.6942061062879,18.9660130937681,14.4223991188076
9,8,5,14.2536820004844,15.8588154684435,12.6485485325252
10,8,5,12.6393332403127,14.2385178558553,11.0401486247701
11,8,5,12.2021658757171,13.5855948434442,10.8187369079901
12,8,5,10.9855055090192,12.6918639449869,9.27914707305156
13,8,5,11.6057388076497,13.2407462683479,9.9707313469516
1,5,5,9.67313353128054,11.309567145129,8.03669991743208
2,5,5,8.00024312161699,9.41216143679347,6.58832480644051
3,5,5,7.48891974196372,9.03396373198009,5.94387575194735
4,5,5,5.88805446566861,7.27312010161029,4.50298882972694
5,5,5,3.48882070414062,4.49732279210264,2.48031861617859
6,5,5,6.31332906313374,7.89234940976548,4.734308716502
7,5,5,9.52365861907209,11.5568054385502,7.49051179959395
8,5,5,9.65715913681335,11.0807601462861,8.23355812734059
9,5,5,12.4243463632775,14.2591874074211,10.5895053191338
10,5,5,9.41501063107787,10.7145770599239,8.11544420223188
11,5,5,9.79845409676198,11.4276297873831,8.16927840614083
12,5,5,11.3587145499646,13.0686091410838,9.64881995884528
13,5,5,12.9192356336808,15.3859336041975,10.4525376631641
1,16,2,11.6081278038645,13.3004049773292,9.91585063039992
2,16,2,12.1573287241292,13.8822676740123,10.4323897742461
3,16,2,11.4814813292355,13.3839695926136,9.57899306585746
4,16,2,12.450478098555,14.120327050025,10.7806291470849
5,16,2,20.6926423625565,22.6395289901069,18.7457557350061
6,16,2,19.6044122664425,21.6256305517761,17.5831939811088
7,16,2,20.4255617970421,22.5506036056546,18.3005199884296
8,16,2,12.4193787076646,14.2368820214684,10.6018753938608
9,16,2,10.62638332032,12.2177208410185,9.03504579962142
10,16,2,12.6626672494097,14.4738319083814,10.851502590438
11,16,2,14.1652385574845,16.2258722561259,12.1046048588432
12,16,2,14.90526643249,17.5882552473403,12.2222776176397
13,16,2,11.9592331203579,14.0181905041601,9.90027573655566
1,4,4,12.0384378394597,13.9054197554578,10.1714559234617
2,4,4,10.4933526465967,12.0448784244664,8.94182686872706
3,4,4,8.09425337721012,9.46079836972505,6.7277083846952
4,4,4,6.68259154668602,8.08705355943051,5.27812953394154
5,4,4,4.39817844707526,5.26407443018031,3.53228246397022
6,4,4,6.62450366005884,8.05846507767292,5.19054224244476
7,4,4,11.8267063520717,13.5053955103556,10.1480171937878
8,4,4,10.5767577845627,12.3982932331906,8.75522233593478
9,4,4,10.6806222957427,12.1148429906386,9.24640160084676
10,4,4,11.4704245653778,12.7996804472457,10.1411686835099
11,4,4,11.8430830594986,13.753106965314,9.93305915368327
12,4,4,13.6132916368889,15.4195691415041,11.8070141322738
13,4,4,13.1613614826899,15.3594604561177,10.9632625092622
1,16,1,10.113391837975,11.4740967483152,8.7526869276349
2,16,1,14.0667156725076,15.7080816779167,12.4253496670986
3,16,1,37.4281333930932,40.6639222021785,34.1923445840079
4,16,1,53.2393783782569,56.7558520642267,49.7229046922871
5,16,1,50.6272359519565,53.2382817684821,48.0161901354308
6,16,1,45.3816763156215,48.7738636340149,41.9894889972282
7,16,1,26.3093304365545,29.2275199268359,23.3911409462732
8,16,1,14.4643083576879,16.6722304112081,12.2563863041677
9,16,1,11.3315330730158,12.8746352269818,9.78843091904978
10,16,1,8.47006907785705,10.0793713354358,6.86076682027831
11,16,1,8.09741779847224,9.72737846539469,6.46745713154979
12,16,1,4.98335213788413,5.99172735165227,3.97497692411599
13,16,1,4.23477493018006,5.12747246045357,3.34207739990655
1,8,4,11.6182945530943,13.5718501549737,9.66473895121489
2,8,4,9.6922769204754,11.1623429467516,8.22221089419925
3,8,4,8.1029418731315,9.51504994957799,6.690833796685
4,8,4,7.73705573657697,9.41633278052393,6.05777869263002
5,8,4,4.16746725607894,5.09839835733906,3.23653615481882
6,8,4,6.44322829107124,7.67086431536385,5.21559226677862
7,8,4,10.8236607990513,12.2810142563476,9.36630734175503
8,8,4,13.0404037362496,14.7374011653541,11.3434063071451
9,8,4,12.5338489365138,14.5066834408101,10.5610144322174
10,8,4,11.4060166943476,13.2665995646254,9.54543382406991
11,8,4,9.66529672301278,11.0066024038591,8.32399104216644
12,8,4,8.83740276704485,10.2950932109738,7.37971232311587
13,8,4,13.802182172778,15.4972541331927,12.1071102123633
1,4,3,12.7280136192261,15.037306474945,10.4187207635072
2,4,3,13.4788963767844,15.6414561418211,11.3163366117477
3,4,3,10.9693070297741,13.0312409213615,8.90737313818668
4,4,3,7.83950752825629,9.24434414305046,6.43467091346211
5,4,3,3.88991551031772,5.03661646954808,2.74321455108736
6,4,3,6.76374225086685,8.32596033516932,5.20152416656437
7,4,3,14.5645347308472,16.7556278616568,12.3734416000375
8,4,3,13.6038930959601,15.2987531829965,11.9090330089238
9,4,3,12.8791565710416,14.7345017338945,11.0238114081887
10,4,3,11.4704129618909,13.1127907655254,9.82803515825638
11,4,3,16.6229234249196,18.8764156413075,14.3694312085318
12,4,3,13.4194434633882,15.0793362475607,11.7595506792158
13,4,3,14.023639642701,15.8576299225393,12.1896493628627
1,9,1,7.9397278578545,9.13072367346561,6.74873204224339
2,9,1,12.9047304826054,14.8363173562822,10.9731436089285
3,9,1,36.3627219503519,38.8349992705426,33.8904446301613
4,9,1,41.5039759809548,44.097218023298,38.9107339386115
5,9,1,36.9310011133243,39.7171249674628,34.1448772591859
6,9,1,19.6653377894018,21.9083747363874,17.4223008424162
7,9,1,13.8640831614291,16.2988172530145,11.4293490698438
8,9,1,10.3297218775211,12.2304573808764,8.4289863741658
9,9,1,8.57468511109759,10.0204478737744,7.12892234842076
10,9,1,9.43116551913126,11.1762557253317,7.68607531293079
11,9,1,7.79569392003129,9.2547360244997,6.33665181556287
12,9,1,7.82057011043148,9.26113336229986,6.38000685856311
13,9,1,6.67335187091559,8.1051430692868,5.24156067254438
1,6,4,10.9849674892098,12.7330328804802,9.23690209793947
2,6,4,10.4798206208605,11.9921971164362,8.96744412528484
3,6,4,9.13108752209529,10.7026438869392,7.55953115725139
4,6,4,7.17358212565889,8.70885842884147,5.63830582247631
5,6,4,5.26378356843365,6.3601183810844,4.16744875578291
6,6,4,6.49805757042321,7.80044643556375,5.19566870528266
7,6,4,11.1800383234623,13.1197793100494,9.24029733687509
8,6,4,12.2025789031352,14.2425408782373,10.1626169280332
9,6,4,10.3913407108625,11.995818813159,8.78686260856604
10,6,4,9.24479262219087,11.0098571648156,7.47972807956619
11,6,4,9.86200249072544,11.4433323574091,8.28067262404174
12,6,4,10.0975110430456,11.5785708078401,8.61645127825115
13,6,4,12.3095995901518,14.1113364621411,10.5078627181625
1,5,4,11.2656072638568,13.0968544414769,9.43436008623672
2,5,4,10.655207566672,12.2740923281242,9.03632280521974
3,5,4,9.65091888942336,11.2815125502328,8.02032522861393
4,5,4,8.53471533595195,10.3060717826988,6.76335888920513
5,5,4,3.07890232436736,4.0137582883571,2.14404636037762
6,5,4,5.3282975049929,6.76676973240203,3.88982527758377
7,5,4,8.81144054683315,10.553639940837,7.06924115282933
8,5,4,10.5870231799174,12.5578160171269,8.6162303427079
9,5,4,15.3404941502596,17.7516973726027,12.9292909279164
10,5,4,12.1582472502953,14.3895402580683,9.92695424252222
11,5,4,9.33938443310795,10.7098446248369,7.96892424137895
12,5,4,9.27083898565207,10.7652051450898,7.77647282621434
13,5,4,13.0161437553377,14.9943518456789,11.0379356649965
1,8,3,11.0913710300645,12.8204955675299,9.36224649259909
2,8,3,9.71137286869901,11.8857695763398,7.53697616105824
3,8,3,6.116301286169,7.60312868014025,4.62947389219775
4,8,3,5.54042221451628,7.11369391451959,3.96715051451298
5,8,3,5.68037012137042,6.85154787396436,4.50919236877648
6,8,3,7.13813460290919,8.53557573878343,5.74069346703496
7,8,3,11.21751624753,13.415224665398,9.01980782966199
8,8,3,13.0208739041218,14.9264689392854,11.1152788689581
9,8,3,13.3240825157124,15.2027993247564,11.4453657066684
10,8,3,11.1134803877816,13.0579198593306,9.16904091623255
11,8,3,6.47887690180781,7.73430773789667,5.22344606571894
12,8,3,9.72271593431589,11.7130895651173,7.73234230351443
13,8,3,10.764933722753,12.6596326294822,8.87023481602386
1,6,1,9.00435102828257,10.7896150438015,7.21908701276363
2,6,1,13.9598980615449,16.3527340879749,11.5670620351149
3,6,1,28.6662158964594,30.7221933245089,26.6102384684099
4,6,1,31.5721856465938,34.1275656589245,29.0168056342631
5,6,1,25.6096124963202,27.7209143812927,23.4983106113476
6,6,1,17.4893655971411,19.4390179088684,15.5397132854138
7,6,1,13.8070039485151,15.876883738051,11.7371241589791
8,6,1,11.6709217677157,13.2228194818544,10.1190240535769
9,6,1,8.96859734534269,10.361776813796,7.57541787688938
10,6,1,10.4634765419149,12.0787322277954,8.84822085603447
11,6,1,7.46274859508865,8.91628803479944,6.00920915537786
12,6,1,6.48534629163113,7.65043399268282,5.32025859057945
13,6,1,8.49462255018021,10.1894426154703,6.7998024848901
1,5,3,11.6815465676585,13.2966421935238,10.0664509417932
2,5,3,11.2913221005483,13.5726915984551,9.00995260264148
3,5,3,12.2239706659148,14.470951734151,9.9769895976787
4,5,3,7.05176241135013,8.47063246804626,5.632892354654
5,5,3,5.44098371133826,6.55106164012314,4.33090578255338
