"speed","time","mean_difference","sem_upper","sem_lower"
0.128,10.5,0,0,0
0.128,10.6,0,0,0
0.128,10.7,0,0,0
0.128,10.8,0,0,0
0.128,10.9,0,0,0
0.128,11,0,0,0
0.128,11.1,0,0,0
0.128,11.2,0,0,0
0.128,11.3,0,0,0
0.128,11.4,0,0,0
0.128,11.5,0,0,0
0.128,11.6,0,0,0
0.128,11.7,0,0,0
0.128,11.8,0,0,0
0.128,11.9,0,0,0
0.128,12,0,0,0
0.512,0,0,0,0
0.512,0.1,0,0,0
0.512,0.2,0.000112412800029068,0.000224825600058137,1.35525271560688e-20
0.512,0.3,0.000739348253458226,0.00126046074647112,0.000218235760445327
0.512,0.4,0.00223595957542192,0.00329814178126838,0.00117377736957546
0.512,0.5,0.00581270263848213,0.00772731990064406,0.00389808537632019
0.512,0.6,0.0160235827015929,0.0192951823483563,0.0127519830548294
0.512,0.7,0.0336869308426898,0.0382382953186136,0.029135566366766
0.512,0.8,0.0565756609394546,0.0619009082338384,0.0512504136450708
0.512,0.9,0.0795729714126887,0.0858352407590413,0.0733107020663361
0.512,1,0.102375887432532,0.109597603880844,0.0951541709842196
0.512,1.1,0.124349841035946,0.132609615441695,0.116090066630196
0.512,1.2,0.145618484306274,0.154798957286375,0.136438011326173
0.512,1.3,0.165874110971577,0.17587866792911,0.155869554014043
0.512,1.4,0.184779571042241,0.195557892637275,0.174001249447208
0.512,1.5,0.202179166461186,0.213659538561708,0.190698794360665
0.512,1.6,0.217929795719651,0.230024138517646,0.205835452921656
0.512,1.7,0.231902162802021,0.244509894077708,0.219294431526333
0.512,1.8,0.243981867835587,0.256993071119116,0.230970664552058
0.512,1.9,0.254070370000923,0.267368562326078,0.240772177675767
0.512,2,0.262085814377308,0.275550500186852,0.248621128567765
0.512,2.1,0.267963715590357,0.281472851027399,0.254454580153315
0.512,2.2,0.271657492384903,0.285089951758681,0.258225033011126
0.512,2.3,0.273138848554189,0.286376972870862,0.259900724237516
0.512,2.4,0.272397997004622,0.28533030850596,0.259465685503285
0.512,2.5,0.269443725111857,0.281967910156104,0.25691954006761
0.512,2.6,0.264303300916285,0.276329595886646,0.252277005945924
0.512,2.7,0.257022221101773,0.268477380169179,0.245567062034366
