"tITI","freq_bins_smooth","mean_spec","sem_upper","sem_lower"
"32 ms",0.117209631728045,1.54761710573073,1.61715096152763,1.47808324993383
"32 ms",0.117917847025496,1.51271854515965,1.57727553778972,1.44816155252958
"32 ms",0.118626062322946,1.5214889139467,1.58488795016853,1.45808987772488
"32 ms",0.119334277620397,1.52609919700409,1.59028273556042,1.46191565844775
"32 ms",0.120042492917847,1.51644187504705,1.58317405528626,1.44970969480785
"32 ms",0.120750708215297,1.53499984277206,1.60221582291753,1.46778386262659
"32 ms",0.121458923512748,1.54715589998732,1.61563616997319,1.47867563000146
"32 ms",0.122167138810198,1.53815754974043,1.60473426076897,1.47158083871188
"32 ms",0.122875354107649,1.54428989998475,1.61089170540652,1.47768809456297
"32 ms",0.123583569405099,1.54021898674968,1.60712683629253,1.47331113720682
"32 ms",0.12429178470255,1.52829765766837,1.59663780365263,1.45995751168411
"32 ms",0.125,1.50775353254615,1.57722712560942,1.43827993948288
"32 ms",0.12570821529745,1.49409233527327,1.56078994202091,1.42739472852564
"32 ms",0.126416430594901,1.48567716932401,1.55064889508867,1.42070544355935
"32 ms",0.127124645892351,1.45589277605292,1.52134402840969,1.39044152369614
"32 ms",0.127832861189802,1.45717294101464,1.52323701188613,1.39110887014315
"32 ms",0.128541076487252,1.46835670312003,1.53828762068379,1.39842578555627
"32 ms",0.129249291784703,1.46318041093166,1.53667072924053,1.38969009262278
"32 ms",0.129957507082153,1.45023713538877,1.52295287422117,1.37752139655637
"32 ms",0.130665722379603,1.43740649592922,1.50944116675193,1.36537182510651
"32 ms",0.131373937677054,1.44690107389173,1.51803058195136,1.3757715658321
"32 ms",0.132082152974504,1.44443522079513,1.51565361220026,1.37321682938999
"32 ms",0.132790368271955,1.45259677248914,1.52802764007324,1.37716590490503
"32 ms",0.133498583569405,1.47806452704565,1.5524885047095,1.40364054938179
"32 ms",0.134206798866856,1.45617056441474,1.52872563296518,1.38361549586431
"32 ms",0.134915014164306,1.45187192588994,1.52216549514027,1.38157835663961
"32 ms",0.135623229461756,1.4402968385783,1.50776412472395,1.37282955243264
"32 ms",0.136331444759207,1.42977460895817,1.49367929332273,1.36586992459361
"32 ms",0.137039660056657,1.41110213878253,1.47719756227113,1.34500671529394
"32 ms",0.137747875354108,1.43938778776798,1.50995675862259,1.36881881691337
"32 ms",0.138456090651558,1.44667091712815,1.5184871839045,1.3748546503518
"32 ms",0.139164305949009,1.42708061984012,1.4992344769696,1.35492676271064
"32 ms",0.139872521246459,1.41305096415898,1.48401298388256,1.3420889444354
"32 ms",0.140580736543909,1.40323353961617,1.47396243556357,1.33250464366876
"32 ms",0.14128895184136,1.38785507292997,1.4630508644986,1.31265928136134
"32 ms",0.14199716713881,1.39595890681893,1.47471387284613,1.31720394079174
"32 ms",0.142705382436261,1.38912193227787,1.46755940201254,1.3106844625432
"32 ms",0.143413597733711,1.38401165450845,1.46184145712969,1.30618185188721
"32 ms",0.144121813031161,1.35590600375887,1.42889898048048,1.28291302703727
"32 ms",0.144830028328612,1.36111399276499,1.43242694696998,1.28980103856
"32 ms",0.145538243626062,1.35593193416641,1.42802954541747,1.28383432291534
"32 ms",0.146246458923513,1.3449871413539,1.41896580585475,1.27100847685305
"32 ms",0.146954674220963,1.3556220793265,1.43294228754807,1.27830187110493
"32 ms",0.147662889518414,1.38437296900478,1.4677597203389,1.30098621767065
"32 ms",0.148371104815864,1.36575622478449,1.44665877064272,1.28485367892626
"32 ms",0.149079320113314,1.3647089333572,1.44153001276953,1.28788785394487
"32 ms",0.149787535410765,1.36563155724985,1.4428110677828,1.2884520467169
"32 ms",0.150495750708215,1.36522480231432,1.44320585504647,1.28724374958217
"32 ms",0.151203966005666,1.36814667035304,1.44418265096513,1.29211068974096
"32 ms",0.151912181303116,1.36736582049176,1.44774823403266,1.28698340695086
"32 ms",0.152620396600567,1.36177833118552,1.43959786059878,1.28395880177226
"32 ms",0.153328611898017,1.33014464645104,1.40515796546821,1.25513132743387
"32 ms",0.154036827195467,1.30589008104505,1.37730075129116,1.23447941079894
"32 ms",0.154745042492918,1.31306812017158,1.38570418419758,1.24043205614558
"32 ms",0.155453257790368,1.31137301639479,1.38311179616032,1.23963423662925
"32 ms",0.156161473087819,1.31527022805298,1.39272726102901,1.23781319507696
"32 ms",0.156869688385269,1.31078052426745,1.39104491053656,1.23051613799835
"32 ms",0.15757790368272,1.29501587512004,1.37576808025458,1.2142636699855
"32 ms",0.15828611898017,1.27608905047816,1.35659486289193,1.1955832380644
"32 ms",0.15899433427762,1.28009899153187,1.36561403378034,1.1945839492834
"32 ms",0.159702549575071,1.29480053436106,1.38073716862587,1.20886390009625
"32 ms",0.160410764872521,1.29200135983786,1.37808704838676,1.20591567128896
"32 ms",0.161118980169972,1.30556486196105,1.39003436727104,1.22109535665106
"32 ms",0.161827195467422,1.28667064234435,1.36372756880766,1.20961371588103
"32 ms",0.162535410764873,1.28216425389963,1.35574197966169,1.20858652813757
"32 ms",0.163243626062323,1.26967926648847,1.34426043744727,1.19509809552966
"32 ms",0.163951841359773,1.25864580258309,1.33248760505823,1.18480400010795
"32 ms",0.164660056657224,1.26748055829401,1.3425820147258,1.19237910186222
"32 ms",0.165368271954674,1.28277571834924,1.36044516176468,1.20510627493381
"32 ms",0.166076487252125,1.28442197682748,1.36057117222691,1.20827278142805
"32 ms",0.166784702549575,1.26895048032523,1.34291582221687,1.19498513843359
"32 ms",0.167492917847025,1.23554383284788,1.30508077198014,1.16600689371563
"32 ms",0.168201133144476,1.23976480038766,1.31153235757994,1.16799724319539
"32 ms",0.168909348441926,1.24105143833555,1.31396344558464,1.16813943108646
"32 ms",0.169617563739377,1.2480516914025,1.32850608033925,1.16759730246575
"32 ms",0.170325779036827,1.24088644704963,1.31828524429857,1.16348764980069
"32 ms",0.171033994334278,1.23069679729202,1.30920814081616,1.15218545376787
"32 ms",0.171742209631728,1.20639483294159,1.27878087493925,1.13400879094394
"32 ms",0.172450424929178,1.19743984344449,1.26672824733515,1.12815143955383
