"id","stim","seq_tr","mean_probability"
"sub-20","house",4,0.722265400610741
"sub-20","house",5,0.293349526768328
"sub-20","house",6,0.073140414745207
"sub-20","house",7,0.0587383945572072
"sub-20","shoe",1,0.0413686188310897
"sub-20","shoe",2,0.124609330278679
"sub-20","shoe",3,0.648716720059329
"sub-20","shoe",4,0.623394567046286
"sub-20","shoe",5,0.306751336681356
"sub-20","shoe",6,0.135409994046643
"sub-20","shoe",7,0.0669380717442833
"sub-21","cat",1,0.0934956973175964
"sub-21","cat",2,0.092523505287941
"sub-21","cat",3,0.351745181488746
"sub-21","cat",4,0.491702596850982
"sub-21","cat",5,0.393147483944029
"sub-21","cat",6,0.204566499558671
"sub-21","cat",7,0.117690814678799
"sub-21","chair",1,0.0863600068351448
"sub-21","chair",2,0.127793774975719
"sub-21","chair",3,0.241202510308852
"sub-21","chair",4,0.427348551650543
"sub-21","chair",5,0.279338309608891
"sub-21","chair",6,0.205447329497873
"sub-21","chair",7,0.182183995181803
"sub-21","face",1,0.0666383676385142
"sub-21","face",2,0.114546328475481
"sub-21","face",3,0.338011891014143
"sub-21","face",4,0.526000426399595
"sub-21","face",5,0.339637109567424
"sub-21","face",6,0.16853340676768
"sub-21","face",7,0.112047111817556
"sub-21","house",1,0.0806088349810748
"sub-21","house",2,0.123312129271728
"sub-21","house",3,0.468256739339175
"sub-21","house",4,0.586827647764841
"sub-21","house",5,0.449945424099271
"sub-21","house",6,0.224583504923043
"sub-21","house",7,0.0936160024996595
"sub-21","shoe",1,0.040345212248365
