"tITI","t","trial_start","mean_slope","sem_upper","sem_lower"
"Rest Pre S1",3,NA,-0.00545131014243622,0.00837379377013499,-0.0192764140550074
"Rest Pre S1",4,NA,-0.0112873923481494,0.00530851108034654,-0.0278832957766454
"Rest Pre S1",5,NA,0.00255742176250272,0.0176643502847528,-0.0125495067597474
"Rest Pre S1",6,NA,0.00503238802049769,0.0179750963790336,-0.00791032033803821
"Rest Pre S1",7,NA,0.005520364231038,0.0166200868210623,-0.00557935835898629
"Rest Pre S1",8,NA,0.0166158439901276,0.0326305378686001,0.000601150111655135
"Rest Pre S1",9,NA,0.016237242823018,0.0317072859203487,0.000767199725687262
"Rest Pre S1",10,NA,0.0123830943526401,0.0237753319641502,0.000990856741130112
"Rest Pre S1",11,NA,0.028311660064516,0.0395753516887265,0.0170479684403055
"Rest Pre S1",12,NA,0.027514632357958,0.0381573181491456,0.0168719465667705
"Rest Pre S1",13,NA,0.00837112176233353,0.0211480355868355,-0.00440579206216843
"Rest Pre S1",14,NA,0.0160462902563738,0.0290087515271972,0.00308382898555032
"Rest Pre S1",15,NA,0.0272982704004495,0.0397933259478037,0.0148032148530953
"Rest Pre S1",16,NA,0.0166039251970424,0.031303349673443,0.00190450072064189
"Rest Pre S1",17,NA,0.0162062115374323,0.0326604572595285,-0.000248034184663976
"Rest Pre S1",18,NA,0.0319220729141955,0.0497326441501991,0.0141115016781919
"Rest Pre S1",19,NA,0.0261048069253067,0.040299943343552,0.0119096705070614
"Rest Pre S1",20,NA,0.00947080314214557,0.0243232832884198,-0.00538167700412868
"Rest Pre S1",21,NA,0.026148054176609,0.0414438412116677,0.0108522671415503
"Rest Pre S1",22,NA,0.0110052321359903,0.0265710233643155,-0.00456055909233493
"Rest Pre S1",23,NA,0.00285249215352869,0.0153380937604179,-0.00963310945336052
"Rest Pre S1",24,NA,0.0385831812996104,0.0497000542990454,0.0274663083001754
"Rest Pre S1",25,NA,0.018059374606299,0.0366217610665199,-0.000503011853921792
"Rest Pre S1",26,NA,0.0223010374887474,0.0415803847561763,0.00302169022131853
"Rest Pre S1",27,NA,0.00293230770827911,0.0217919560868825,-0.0159273406703243
"Rest Pre S1",28,NA,-0.00150368389303491,0.0149978330470062,-0.018005200833076
"Rest Pre S1",29,NA,-0.0104623618864235,0.00490360225439768,-0.0258283260272446
"Rest Pre S1",30,NA,-0.0159744546210296,-0.0032654625271428,-0.0286834467149164
"Rest Pre S1",31,NA,-0.00862952052816456,0.0066290739309133,-0.0238881149872424
"Rest Pre S1",32,NA,0.0205135308878349,0.0372495458896216,0.00377751588604814
"Rest Pre S1",33,NA,-0.00945802289503216,0.00549825822480676,-0.0244143040148711
"Rest Pre S1",34,NA,-0.00491199988313929,0.0130592567723069,-0.0228832565385854
"Rest Pre S1",35,NA,0.000653800248623766,0.0191781833047395,-0.0178705828074919
"Rest Pre S1",36,NA,0.00947725147921346,0.0273685532578492,-0.00841405029942229
"Rest Pre S1",37,NA,-0.00232957315731018,0.0170090952434934,-0.0216682415581137
"Rest Pre S1",38,NA,0.0213849587981826,0.0400979446210247,0.00267197297534039
"Rest Pre S1",39,NA,0.0231001324479482,0.0373003506942729,0.00889991420162358
"Rest Pre S1",40,NA,0.0141207189887931,0.0318310451951214,-0.00358960721753514
"Rest Pre S1",41,NA,0.00767331705894714,0.0247643211476573,-0.00941768702976298
"Rest Pre S1",42,NA,-0.0104655339530928,0.0018739384489844,-0.02280500635517
